ZIPCODE,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,INCIDENT_COUNT,AVG_RESPONSE_SEC,BOROUGH,AVG_RESPONSE_MIN,total_population,total_households,median_age,median_household_income,median_home_value,median_gross_rent,poverty_rate,unemployment_rate,college_degree_rate,graduate_degree_rate,renter_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_native_american,pct_pacific_islander,pct_other_race,pct_two_or_more_races,diversity_index
10152,10152,B5,G6350,S,12423,0,+40.7584035,-073.9720314,41,654.390243902439,MANHATTAN,10.90650406504065,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10153,10153,B5,G6350,S,12281,0,+40.7636221,-073.9724387,340,669.9323529411764,MANHATTAN,11.165539215686273,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10168,10168,B5,G6350,S,13211,0,+40.7514484,-073.9771032,797,464.5909661229611,MANHATTAN,7.743182768716019,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11229,11229,B5,G6350,S,5199254,143662,+40.6012928,-073.9444926,50938,542.4096941379717,BROOKLYN,9.040161568966194,81109,30751,42.2,72799,809600,1586,15.682442294846737,4.494858475564508,41.38966552759656,16.93590141866004,51.65685668758739,60.57897397329519,6.249614715999457,24.04295454265248,8.831325746834507,0.2391843075367715,0.0690428928972124,3.7024251316130146,5.117804436005868,0.5595112400503199
11363,11363,B5,G6350,S,2239195,34217,+40.7723479,-073.7462919,2801,623.9225276686898,QUEENS,10.398708794478162,7365,2855,46.3,112625,986000,2334,8.920570264765784,6.238435104414486,56.37596189080249,27.647489923048735,28.86164623467601,55.01697216564834,0.6245756958587916,30.902919212491515,12.423625254582484,0.8689748811948405,0.0,1.5207060420909708,11.065852002715546,0.5737885053847738
11422,11422,B5,G6350,S,5436200,137648,+40.6607865,-073.7375702,21303,590.0739801905835,QUEENS,9.834566336509726,32296,10019,42.0,101416,599100,2115,8.352783742569944,7.232332781848262,29.88717862685065,10.741098016189238,30.97115480586885,7.607753282140203,80.65704731236066,2.4213524894723806,8.895838493931137,0.11456527124102055,0.0,3.5515234084716374,5.647758236314095,0.3307040301643166
10005,10005,B5,G6350,S,188727,0,+40.7062151,-074.0086868,7819,531.3564394423839,MANHATTAN,8.855940657373065,8801,4881,29.6,189886,1750000,3501,5.181229405749347,3.4362882738334,88.7459807073955,32.18357205495469,83.32308953083385,70.82149755709578,4.783547324167708,11.191910010226112,8.578570616975343,0.0,0.0,3.3746165208499033,9.828428587660493,0.46545963900947573
10170,10170,B5,G6350,S,24921,0,+40.7526253,-073.9758766,141,636.0780141843971,MANHATTAN,10.601300236406619,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10173,10173,B5,G6350,S,12297,0,+40.7541306,-073.9793637,43,384.8139534883721,MANHATTAN,6.413565891472868,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10312,10312,B5,G6350,S,17797576,137541,+40.5452374,-074.1804434,28956,526.479969609062,RICHMOND / STATEN ISLAND,8.774666160151034,63473,21324,40.9,107414,665100,1773,5.844053474586959,3.984233864345541,39.15422318477146,15.581899008320985,18.059463515287938,82.7438438391127,0.9815197012903124,8.676130008034914,12.821199565169442,0.10555669339719252,0.0,1.7661052731082507,5.726844485056638,0.28769075177910397
11357,11357,B5,G6350,S,7341415,2281,+40.7851288,-073.8100365,16735,542.5567971317598,QUEENS,9.042613285529331,42792,15508,47.3,95987,906800,2184,7.248527679623086,7.909921871010571,36.73726280013847,14.765396355854863,24.651792623162237,61.1165638437091,0.7220975883342682,26.135726303982054,14.811179659749484,0.2220041129183025,0.21966722751916246,5.045335576743317,6.538605346793794,0.5293490656180645
11413,11413,B5,G6350,S,7812635,43490,+40.6711705,-073.7520631,30047,543.6942456817652,QUEENS,9.061570761362754,44832,13512,40.3,111065,612700,1970,6.01513892320478,5.013939523911644,28.633564035811798,12.102355705124134,26.835405565423326,1.7688258386866522,87.37955032119913,1.6907566024268381,6.769718058529622,0.0936830835117773,0.0,6.299072091363311,2.768112062812277,0.22656481702121767
10154,10154,B5,G6350,S,12382,0,+40.7577785,-073.9724875,116,554.9396551724138,MANHATTAN,9.248994252873564,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10177,10177,B5,G6350,S,5421,0,+40.7551387,-073.9759337,33,438.1515151515151,MANHATTAN,7.302525252525252,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10282,10282,B5,G6350,S,177847,0,+40.7163808,-074.0150041,3002,505.3301132578281,MANHATTAN,8.422168554297135,6450,2635,38.7,250001,2000001,3501,5.782945736434108,3.4174553101997898,80.11160714285714,48.794642857142854,90.89184060721063,74.62015503875969,2.1240310077519378,13.72093023255814,4.310077519379845,0.0,0.0,0.0,9.534883720930234,0.4129566252028123
10465,10465,B5,G6350,S,10153865,3147,+40.8273295,-073.8221698,35098,581.4211635990655,BRONX,9.690352726651092,46311,16168,37.9,85946,587400,1680,13.831036819516603,7.005796971194895,29.282759947417357,11.218698900253294,44.88495794161306,47.828809570080544,15.531947053615772,4.936192265336529,46.78802012480836,0.12308090950314181,0.27207358942799764,18.45997711126946,12.847919500766555,0.47517498111576895
11693,11693,B5,G6350,S,2560690,3120,+40.5916616,-073.8096677,14286,434.94470110597786,QUEENS,7.249078351766298,13558,5274,44.2,72714,458800,1137,17.87077936662424,9.342616580310882,35.69141794898275,13.425591242383557,54.929844520288206,56.17347691399911,23.83832423661307,3.3707036436052515,25.61587254757339,0.1696415400501549,0.0,6.778285882873581,9.66956778285883,0.5469265740686602
10044,10044,B5,G6350,S,595879,0,+40.7619065,-073.9499670,7980,716.3398496240602,QUEENS,11.938997493734337,11846,5039,39.9,120759,932000,3082,10.072793448589627,4.616998950682056,69.09171075837742,45.10582010582011,79.26175828537409,45.21357420226237,13.506668917778153,28.878946479824414,10.695593449265575,0.0,0.0,6.0442343407057235,6.356576059429344,0.6747974505620827
10271,10271,B5,G6350,S,6779,0,+40.7082356,-074.0105414,151,505.6622516556291,MANHATTAN,8.427704194260485,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11209,11209,B5,G6350,S,5473452,0,+40.6218034,-074.0301497,46751,429.6227246476011,BROOKLYN,7.160378744126685,71812,30179,40.6,88546,935000,1801,10.693180226858983,5.699289576927155,52.810353334092376,22.919275873847205,63.81589847244773,67.04311257171504,3.379657995878126,13.52420208321729,19.743218403609426,0.824374756308138,0.0459533225644739,7.625466495850277,7.557232774466663,0.4805159041673419
11214,11214,B5,G6350,S,5242819,0,+40.5996903,-073.9963717,58609,513.5345254141855,BROOKLYN,8.558908756903092,90796,31366,40.6,60152,947700,1666,19.556005383101066,7.209878831406528,32.02792862684251,11.65089216446858,66.32021934578843,43.64399312745055,2.161989514956606,36.71527380060795,17.602097008678797,0.704876866822327,0.008810960835279087,11.436627164192254,5.328428565135028,0.627299699497482
11224,11224,B5,G6350,S,4017284,87258,+40.5773723,-073.9887059,78240,542.5338829243353,BROOKLYN,9.042231382072256,47893,19486,49.4,40467,500700,925,28.57387031300075,10.584812336339832,33.882695104217156,15.28898520144849,70.04002873858155,51.235044787338445,21.383083122794563,9.483640615538805,19.46213434113545,0.3507819514334036,0.0,11.44008518990249,6.1073643329922955,0.6280721333140395
10103,10103,B5,G6350,S,24776,0,+40.7607797,-073.9776696,456,729.6008771929825,MANHATTAN,12.160014619883041,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10112,10112,B5,G6350,S,24865,0,+40.7589044,-073.9790441,817,736.1676866585067,MANHATTAN,12.269461444308444,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10169,10169,B5,G6350,S,5396,0,+40.7545147,-073.9763929,243,517.7654320987655,MANHATTAN,8.629423868312758,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10304,10304,B5,G6350,S,9041054,19194,+40.6059650,-074.0935352,46445,482.2235547421682,RICHMOND / STATEN ISLAND,8.037059245702803,44864,15553,38.8,69479,653100,1365,17.017168861614838,6.075199110946471,30.891069866873966,10.873578855310466,50.13180736835338,45.14978601997147,27.36938302425107,12.47993937232525,21.6989122681883,0.744472182596291,0.08692938659058488,8.037624821683309,6.131865192582025,0.6483057035800128
10803,10803,B5,G6350,S,5729978,113499,+40.8995323,-073.8058833,1,794.0,BRONX,13.233333333333333,13283,4302,39.6,213674,927000,2203,2.4768501091620867,5.700892182065628,72.26051818397909,41.276444021868315,18.735471873547187,74.56146954754198,7.069186177821275,6.730407287510351,11.051720243920801,0.0,0.0,2.010088082511481,9.628848904614921,0.4126419777761252
11231,11231,B5,G6350,S,3690567,66967,+40.6779162,-074.0051543,30334,511.65975473066527,BROOKLYN,8.52766257884442,38829,16498,37.7,130396,1836600,2309,13.93370792308882,7.457330415754923,69.05368092659661,33.140890020439635,69.34173839253242,64.50075974143037,12.768806819645109,5.547400139071312,14.968193875711453,0.32449972958355866,1.1795307630894436,6.361224857709444,9.317777949470758,0.5293006328475447
11356,11356,B5,G6350,S,4096028,0,+40.7848710,-073.8415275,12892,650.5448340055849,QUEENS,10.842413900093081,27632,8391,38.7,86717,856500,2034,9.494817713995795,9.653267427491459,23.463104060118987,8.203736561945517,49.0525563103325,27.012159814707587,0.9264620729588882,32.87492762015055,41.723364215402434,0.07961783439490447,0.13752171395483495,32.520266357845976,6.449044585987261,0.5348701751412139
11371,11371,B5,G6350,S,2837110,0,+40.7744111,-073.8732723,46,665.1739130434783,QUEENS,11.086231884057971,0,0,-666666666.0,-666666666,-666666666,-666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
